Frame,Timestamp,ObjectID,Label,Distance(m)
536,11:43:57,12,person,3.25
536,11:43:57,17,person,3.21
537,11:43:57,12,person,3.24
538,11:43:57,12,person,3.23
538,11:43:57,17,person,3.22
539,11:43:57,12,person,3.22
539,11:43:57,17,person,3.22
540,11:43:57,12,person,3.21
541,11:43:58,12,person,3.21
542,11:43:58,12,person,3.19
543,11:43:58,12,person,3.16
543,11:43:58,17,person,3.2
544,11:43:58,12,person,3.15
545,11:43:58,12,person,3.16
545,11:43:58,17,person,3.17
546,11:43:58,12,person,3.16
546,11:43:58,17,person,3.15
547,11:43:59,12,person,3.15
547,11:43:59,17,person,3.14
548,11:43:59,12,person,3.15
548,11:43:59,17,person,3.15
549,11:43:59,12,person,3.11
550,11:43:59,12,person,3.07
